,Symbol,Name,Last Price,Market Time,Change,% Change,Volume,Market Cap,Intraday High/Low,52 Week Range,Day Chart
0,BTC-USD,Bitcoin USD,"62,926.74",10:14AM UTC,"-1,524.97",-2.37%,23.406B,1.239T,,,
1,^GSPC,S&P 500,"5,099.96",5:18PM EDT,+51.54,+1.02%,2.401B,N/A,,,
2,^IXIC,NASDAQ Composite,"15,927.90",5:15PM EDT,+316.14,+2.03%,4.234B,N/A,,,
3,IBRX,"ImmunityBio, Inc.",7.35,4:00PM EDT,+2.24,+43.84%,39.08M,4.976B,,,
4,SOFI,"SoFi Technologies, Inc.",7.87,4:00PM EDT,+0.28,+3.69%,85.672M,8.315B,,,
5,^DJI,Dow Jones Industrial Average,"38,239.66",5:18PM EDT,+153.86,+0.40%,401.459M,N/A,,,
6,SOL-USD,Solana USD,136.28,10:13AM UTC,-7.85,-5.45%,2.484B,60.939B,,,
7,ABBV,AbbVie Inc.,159.62,4:00PM EDT,-7.67,-4.58%,10.631M,282.631B,,,
8,ETH-USD,Ethereum USD,"3,119.14",10:13AM UTC,-31.68,-1.01%,10.565B,380.695B,,,
9,BTC-EUR,Bitcoin EUR,"58,840.28",10:14AM UTC,"-1,425.94",-2.37%,21.886B,1.159T,,,
10,BTC-CAD,Bitcoin CAD,"86,093.22",10:14AM UTC,"-2,086.39",-2.37%,32.023B,1.695T,,,
11,AGEN,Agenus Inc.,11.69,4:00PM EDT,+3.39,+40.84%,3.358M,244.859M,,,
12,ALAB,"Astera Labs, Inc.",85.00,4:00PM EDT,+13.41,+18.73%,2.977M,13.215B,,,
13,ZIM,ZIM Integrated Shipping Services Ltd.,13.22,4:00PM EDT,+1.83,+16.07%,13.542M,1.591B,,,
14,XRP-USD,XRP USD,0.515045,10:14AM UTC,-0.009624,-1.83%,939.539M,28.449B,,,
15,DOGE-USD,Dogecoin USD,0.145098,10:14AM UTC,-0.006085,-4.02%,905.047M,20.902B,,,
16,CAVA,"CAVA Group, Inc.",69.16,4:01PM EDT,+6.57,+10.50%,5.811M,7.884B,,,
17,WMT,Walmart Inc.,60.16,4:00PM EDT,-0.05,-0.08%,9.763M,484.877B,,,
18,TEVA,Teva Pharmaceutical Industries Limited,13.81,4:00PM EDT,+0.56,+4.23%,10.129M,15.642B,,,
19,JNJ,Johnson & Johnson,146.14,4:00PM EDT,-0.68,-0.46%,6.134M,352.165B,,,
20,V,Visa Inc.,274.52,4:00PM EDT,-0.64,-0.23%,6.815M,561.695B,,,
21,NG=F,Natural Gas Jun 24,1.9200,4:59PM EDT,-0.0660,-3.32%,"113,317",N/A,,,
22,VOO,Vanguard S&P 500 ETF,467.21,4:00PM EDT,+4.63,+1.00%,4.843M,N/A,,,
23,KO,The Coca-Cola Company,61.74,4:00PM EDT,0.00,0.00%,10.968M,266.173B,,,
24,SBUX,Starbucks Corporation,88.25,4:00PM EDT,+0.41,+0.47%,7.138M,99.918B,,,
25,XOM,Exxon Mobil Corporation,117.96,4:02PM EDT,-3.37,-2.78%,26.68M,466.916B,,,
26,GME,GameStop Corp.,11.90,4:00PM EDT,+0.69,+6.16%,7.581M,3.64B,,,
27,AMC,"AMC Entertainment Holdings, Inc.",3.4100,4:00PM EDT,+0.1300,+3.96%,12.871M,942.483M,,,
28,MPW,"Medical Properties Trust, Inc.",4.5100,4:00PM EDT,-0.0500,-1.10%,8.976M,2.713B,,,
29,BRK-B,Berkshire Hathaway Inc.,402.10,4:01PM EDT,-2.81,-0.69%,2.963M,869.26B,,,
